tipo;codigo;nome;unid;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
MATERIAL;11859;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 185 MM2;UN;61,76;66,38;51,28;71,09;57,59;;64,43;66,83;65,32;61,05;81,23;70,21;69,32;50,48;51,99;66,65;74,65;65,32;62,21;63,98;62,21;31,10;71,09;53,32;54,30;60,61;72,96
MATERIAL;1550;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 25 MM2;UN;8,62;9,26;7,15;9,92;8,03;;8,99;9,32;9,11;8,52;11,33;9,79;9,67;7,04;7,25;9,30;10,41;9,11;8,68;8,93;8,68;4,34;9,92;7,44;7,57;8,45;10,18
MATERIAL;11854;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 35 MM2;UN;10,76;11,57;8,94;12,39;10,04;;11,23;11,65;11,38;10,64;14,16;12,24;12,08;8,80;9,06;11,62;13,01;11,38;10,84;11,15;10,84;5,42;12,39;9,29;9,46;10,56;12,72
MATERIAL;11862;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 50 MM2;UN;15,10;16,23;12,54;17,38;14,08;;15,75;16,34;15,97;14,93;19,86;17,17;16,95;12,34;12,71;16,30;18,25;15,97;15,21;15,65;15,21;7,60;17,38;13,04;13,28;14,82;17,84
MATERIAL;11863;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 6 MM2;UN;6,10;6,55;5,06;7,02;5,68;;6,36;6,60;6,45;6,03;8,02;6,93;6,84;4,98;5,13;6,58;7,37;6,45;6,14;6,32;6,14;3,07;7,02;5,26;5,36;5,98;7,20
MATERIAL;11855;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 70 MM2;UN;22,54;24,23;18,71;25,95;21,02;;23,52;24,39;23,84;22,28;29,65;25,62;25,30;18,42;18,97;24,33;27,25;23,84;22,70;23,35;22,70;11,35;25,95;19,46;19,82;22,12;26,63
MATERIAL;11864;CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 95 MM2;UN;34,08;36,63;28,29;39,23;31,78;;35,55;36,88;36,04;33,69;44,82;38,74;38,25;27,85;28,69;36,78;41,19;36,04;34,33;35,31;34,33;17,16;39,23;29,42;29,96;33,44;40,26
MATERIAL;2527;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 1 1/2"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;8,95;10,67;8,64;11,12;;8,02;9,81;8,89;11,75;12,26;9,27;9,43;10,19;7,55;9,53;8,57;10,21;9,03;8,31;8,89;;10,67;8,03;11,56;9,27;
MATERIAL;2526;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 1 1/4"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;5,73;6,84;5,53;7,12;;5,14;6,28;5,70;7,53;7,86;5,94;6,04;6,53;4,83;6,10;5,49;6,54;5,79;5,33;5,70;;6,84;5,14;7,41;5,94;
MATERIAL;2483;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 1"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;4,08;4,87;3,94;5,07;;3,66;4,47;4,06;5,36;5,59;4,23;4,30;4,65;3,44;4,35;3,91;4,66;4,12;3,79;4,06;;4,87;3,66;5,27;4,23;
MATERIAL;2487;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 1/2"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;1,95;2,33;1,89;2,43;;1,75;2,14;1,94;2,57;2,68;2,03;2,06;2,23;1,65;2,08;1,87;2,23;1,97;1,82;1,94;;2,33;1,75;2,53;2,02;
MATERIAL;2528;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 2 1/2"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;22,53;26,86;21,74;27,98;;20,17;24,68;22,38;29,58;30,86;23,34;23,74;25,64;18,99;23,98;21,58;25,69;22,73;20,93;22,38;;26,86;20,21;29,10;23,32;
MATERIAL;2489;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 2"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;9,92;11,83;9,57;12,32;;8,88;10,87;9,86;13,03;13,59;10,28;10,45;11,29;8,36;10,56;9,50;11,31;10,01;9,21;9,86;;11,83;8,90;12,81;10,27;
MATERIAL;2484;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 3"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;32,72;39,01;31,58;40,64;;29,30;35,85;32,51;42,96;44,82;33,90;34,48;37,25;27,58;34,83;31,35;37,31;33,02;30,39;32,51;;39,01;29,35;42,26;33,88;
MATERIAL;2488;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 3/4"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;2,29;2,73;2,21;2,85;;2,05;2,51;2,28;3,01;3,14;2,37;2,41;2,61;1,93;2,44;2,19;2,61;2,31;2,13;2,28;;2,73;2,05;2,96;2,37;
MATERIAL;2485;"CONECTOR RETO DE ALUMINIO PARA ELETRODUTO DE 4"", PARA ADAPTAR ENTRADA DE ELETRODUTO METALICO FLEXIVEL EM QUADROS";UN;;51,28;61,14;49,50;63,69;;45,93;56,19;50,95;67,33;70,24;53,14;54,05;58,38;43,24;54,59;49,13;58,49;51,75;47,64;50,95;;61,14;46,00;66,24;53,10;
MATERIAL;44247;"CONECTOR, CPVC, SOLDAVEL, 114 MM X 4"", PARA AGUA QUENTE";UN;1.854,18;;;;1.554,22;1.660,40;1.578,11;1.936,47;1.503,79;;1.840,91;1.786,49;1.649,78;1.587,40;1.433,44;1.588,73;;1.652,44;1.592,71;1.462,64;1.874,09;;1.895,33;1.327,26;;1.641,82;
MATERIAL;38005;"CONECTOR, CPVC, SOLDAVEL, 15 MM X 1/2"", PARA AGUA QUENTE";UN;22,05;;;;18,48;19,74;18,76;23,02;17,88;;21,89;21,24;19,62;18,87;17,04;18,89;;19,65;18,94;17,39;22,28;;22,54;15,78;;19,52;
MATERIAL;38006;"CONECTOR, CPVC, SOLDAVEL, 22 MM X 1/2"", PARA AGUA QUENTE";UN;29,30;;;;24,56;26,23;24,93;30,60;23,76;;29,09;28,23;26,07;25,08;22,65;25,10;;26,11;25,16;23,11;29,61;;29,95;20,97;;25,94;
MATERIAL;38428;"CONECTOR, CPVC, SOLDAVEL, 22 MM X 3/4"", PARA AGUA QUENTE";UN;26,24;;;;21,99;23,49;22,33;27,40;21,28;;26,05;25,28;23,34;22,46;20,28;22,48;;23,38;22,54;20,69;26,52;;26,82;18,78;;23,23;
MATERIAL;38007;"CONECTOR, CPVC, SOLDAVEL, 28 MM X 1"", PARA AGUA QUENTE";UN;33,80;;;;28,33;30,27;28,77;35,30;27,41;;33,56;32,57;30,08;28,94;26,13;28,96;;30,12;29,03;26,66;34,16;;34,55;24,19;;29,93;
MATERIAL;38008;"CONECTOR, CPVC, SOLDAVEL, 35 MM X 1 1/4"", PARA AGUA QUENTE";UN;54,09;;;;45,34;48,44;46,03;56,49;43,87;;53,70;52,11;48,13;46,31;41,81;46,34;;48,20;46,46;42,67;54,67;;55,29;38,72;;47,89;
MATERIAL;38009;"CONECTOR, CPVC, SOLDAVEL, 42 MM X 1 1/2"", PARA AGUA QUENTE";UN;66,22;;;;55,50;59,30;56,36;69,16;53,70;;65,74;63,80;58,92;56,69;51,19;56,74;;59,01;56,88;52,23;66,93;;67,69;47,40;;58,63;
MATERIAL;44248;"CONECTOR, CPVC, SOLDAVEL, 54 MM X 2"", PARA AGUA QUENTE";UN;107,93;;;;90,47;96,65;91,86;112,72;87,54;;107,16;103,99;96,04;92,40;83,44;92,48;;96,19;92,71;85,14;109,09;;110,33;77,26;;95,57;
MATERIAL;44249;"CONECTOR, CPVC, SOLDAVEL, 73 MM X 2 1/2"", PARA AGUA QUENTE";UN;416,43;;;;349,06;372,90;354,42;434,91;337,73;;413,44;401,22;370,52;356,51;321,93;356,81;;371,12;357,70;328,49;420,90;;425,67;298,08;;368,73;
MATERIAL;44250;"CONECTOR, CPVC, SOLDAVEL, 89 MM X 3"", PARA AGUA QUENTE";UN;604,74;;;;506,91;541,54;514,70;631,58;490,46;;600,41;582,66;538,08;517,73;467,51;518,16;;538,94;519,46;477,04;611,23;;618,16;432,88;;535,48;
MATERIAL;39279;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, EM PLASTICO, DN 16 MM X 1/2"", PARA CONEXAO COM CRIMPAGEM, EM TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;15,62;;;9,91;
MATERIAL;39280;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, EM PLASTICO, DN 20 MM X 1/2"", PARA CONEXAO COM CRIMPAGEM, EM TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;17,50;;;11,10;
MATERIAL;39281;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, EM PLASTICO, DN 20 MM X 3/4"", PARA CONEXAO COM CRIMPAGEM, EM TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;23,13;;;14,67;
MATERIAL;39282;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, EM PLASTICO, DN 25 MM X 3/4"", PARA CONEXAO COM CRIMPAGEM, EM TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;32,29;;;20,49;
MATERIAL;38844;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 16 MM X 1/2"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;15,84;;;10,05;
MATERIAL;38846;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 20 MM X 1/2"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;16,12;;;10,22;
MATERIAL;38847;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 20 MM X 3/4"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;18,88;;;11,98;
MATERIAL;38850;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 25 MM X 1"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;34,09;;;21,63;
MATERIAL;38848;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 25 MM X 3/4"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;22,35;;;14,18;
MATERIAL;38851;"CONECTOR/ADAPTADOR FIXO, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 32 MM X 1"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;38,55;;;24,46;
MATERIAL;38854;"CONECTOR/ADAPTADOR MOVEL, ROSCA FEMEA, METALICA, COM ANEL DESLIZANTE, DN 16 MM X 3/4"", PARA TUBO PEX PARA INST. AGUA QUENTE/FRIA";UN;;;;;;;;;;;;;;;;;;;;;;;16,75;;;10,62;
MATERIAL;3104;CONJ. DE FERRAGENS PARA PORTA DE VIDRO TEMPERADO, EM ZAMAC CROMADO, CONTEMPLANDO DOBRADICA INF., DOBRADICA SUP., PIVO PARA DOBRADICA INF., PIVO PARA DOBRADICA SUP., FECHADURA CENTRAL EM ZAMC. CROMADO, CONTRA FECHADURA DE PRESSAO;CJ;124,23;164,79;166,78;184,36;180,24;147,51;180,26;125,04;196,83;189,25;155,46;158,34;147,69;154,08;145,73;177,93;172,86;157,05;175,05;149,81;149,81;144,05;200,87;180,31;152,12;185,54;156,11
MATERIAL;1607;"CONJUNTO ARRUELAS DE VEDACAO 5/16"" PARA TELHA FIBROCIMENTO (UMA ARRUELA METALICA E UMA ARRUELA PVC - CONICAS)";CJ;0,20;0,27;;0,38;0,28;0,18;;0,28;0,22;0,36;0,35;0,19;0,24;0,33;0,33;0,19;0,32;0,18;0,33;0,25;0,23;0,29;0,26;0,26;0,33;0,28;0,24
MATERIAL;38169;CONJUNTO DE FERRAGENS PIVO, PARA PORTA PIVOTANTE DE ATE 100 KG, REGULAVEL COM ESFERA, CROMADO - SUPERIOR E INFERIOR - COMPLETO;CJ;84,97;79,04;82,84;78,84;83,51;85,37;78,65;76,99;90,07;77,07;82,60;90,50;105,72;88,73;82,99;88,73;82,76;77,18;86,55;74,93;95,05;71,14;84,34;90,78;90,86;72,09;82,99
MATERIAL;6142;CONJUNTO DE LIGACAO AJUSTAVEL, PARA VASO / BACIA SANITARIA, EM PLASTICO BRANCO, COM TUBO, CANOPLA E ESPUDE;UN;8,56;8,82;9,34;8,61;8,24;7,93;9,13;9,55;9,44;8,11;9,06;9,19;7,55;9,08;9,46;8,11;8,11;9,43;10,38;7,85;9,64;8,04;9,05;8,68;8,51;9,72;9,07
MATERIAL;11686;"CONJUNTO DE LIGACAO PARA VASO / BACIA SANITARIA, EM PLASTICO BRANCO, COM TUBO, CANOPLA E ANEL DE EXPANSAO (TUBO 1.1/2"" X 20 CM)";UN;11,88;12,25;12,97;11,96;11,45;11,01;12,67;13,26;13,10;11,26;12,58;12,76;10,49;12,60;13,13;11,26;11,26;13,10;14,41;10,90;13,39;11,16;12,57;12,05;11,81;13,50;12,59
MATERIAL;37598;CONJUNTO MONTADO ESTOPIM COM ESPOLETA COMUM NUMERO 8, COM CABECA ACENDEDORA, 1,5 M;UN;;;;;;;;;;;;;;;;;;;;;;;;;;38,11;
MATERIAL;25398;"CONJUNTO PARA FUTSAL COM PAR DE TRAVES OFICIAIS DE 3,00 X 2,00 M EM TUBO DE ACO GALVANIZADO 3"" COM REQUADROS EM TUBO DE 1"", PINTURA EM PRIMER COM TINTA ESMALTE SINTETICO E REDES DE POLIETILENO FIO 4 MM";UN;;;;;;;;;;;;;;;;;;;;;;;5.137,11;;;3.802,90;
MATERIAL;25399;"CONJUNTO PARA QUADRA DE VOLEI COM POSTES EM TUBO DE ACO GALVANIZADO 3"", H = *255* CM, PINTURA EM TINTA ESMALTE SINTETICO, REDE DE NYLON COM 2 MM, MALHA 10 X 10 CM E ANTENAS OFICIAIS EM FIBRA DE VIDRO";UN;;;;;;;;;;;;;;;;;;;;;;;3.118,67;;;2.308,69;
MATERIAL;43440;CONJUNTO PRE-MOLDADO COMPOSTO POR GRELHA (0,99 X 0,45 M), QUADRO (1,10 X 0,52 M) E CANTONEIRA (1,10 X 0,35 M), EM CONCRETO ARMADO, COM FCK DE 21 MPA;UN;;334,85;;;487,05;;506,33;476,26;;543,88;416,02;503,29;;465,79;;381,52;446,47;;584,47;468,51;427,08;;466,76;;;539,82;481,72
EQUIPAMENTO (AQUISIÇÃO);10667;CONTAINER ALMOXARIFADO, DE *2,40* X *6,00* M, PADRAO SIMPLES, SEM REVESTIMENTO E SEM DIVISORIAS INTERNOS E SEM SANITARIO, PARA USO EM CANTEIRO DE OBRAS;UN;;;;;44.449,50;;;;;;26.000,00;;;;;;;16.500,00;18.350,00;;;;22.713,00;;;19.404,00;
MATERIAL;1613;CONTATOR TRIPOLAR, CORRENTE DE *110* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;2.355,74;;;1.022,07;;1.744,99;1.495,71;1.035,40;1.871,51;2.218,64;2.293,30;1.603,40;1.180,49;;;1.384,90;;1.172,39;1.763,69;;;2.118,92;1.478,63;1.487,61;1.962,12;
MATERIAL;1626;CONTATOR TRIPOLAR, CORRENTE DE *185* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;3.523,30;;;1.528,63;;2.609,85;2.237,02;1.548,57;2.799,07;3.318,24;3.429,91;2.398,08;1.765,56;;;2.071,29;;1.753,45;2.637,82;;;3.169,11;2.211,48;2.224,90;2.934,59;
MATERIAL;1625;CONTATOR TRIPOLAR, CORRENTE DE *22* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;246,09;;;106,77;;182,29;156,24;108,16;195,50;231,77;239,57;167,49;123,32;;;144,67;;122,47;184,24;;;221,35;154,46;155,40;204,97;
MATERIAL;1622;CONTATOR TRIPOLAR, CORRENTE DE *265* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;7.950,65;;;3.449,49;;5.889,37;5.048,03;3.494,50;6.316,35;7.487,91;7.739,90;5.411,49;3.984,16;;;4.674,06;;3.956,81;5.952,47;;;7.151,38;4.990,40;5.020,69;6.622,18;
MATERIAL;1620;CONTATOR TRIPOLAR, CORRENTE DE *38* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;518,39;;;224,91;;383,99;329,14;227,84;411,83;488,22;504,65;352,84;259,77;;;304,75;;257,99;388,11;;;466,28;325,38;327,35;431,78;
MATERIAL;1629;CONTATOR TRIPOLAR, CORRENTE DE *500* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;19.349,99;;;8.395,23;;14.333,33;12.285,71;8.504,78;15.372,49;18.223,80;18.837,07;13.170,28;9.696,49;;;11.375,54;;9.629,95;14.486,90;;;17.404,76;12.145,45;12.219,16;16.116,80;
MATERIAL;1627;CONTATOR TRIPOLAR, CORRENTE DE *65* A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;990,89;;;429,91;;733,99;629,14;435,52;787,21;933,22;964,63;674,44;496,55;;;582,53;;493,14;741,86;;;891,28;621,96;625,73;825,33;
MATERIAL;1623;CONTATOR TRIPOLAR, CORRENTE DE 12 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;200,69;;;87,07;;148,66;127,42;88,21;159,44;189,01;195,37;136,60;100,57;;;117,98;;99,88;150,25;;;180,52;125,97;126,73;167,16;
MATERIAL;1619;CONTATOR TRIPOLAR, CORRENTE DE 25 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;276,07;;;119,77;;204,49;175,28;121,34;219,32;260,00;268,75;187,90;138,34;;;162,29;;137,39;206,69;;;248,32;173,28;174,33;229,94;
MATERIAL;1630;CONTATOR TRIPOLAR, CORRENTE DE 250 A, TENSAO NOMINAL DE *500* V, PARA ACIONAMENTO DE CAPACITORES;UN;;6.078,44;;;2.637,20;;4.502,54;3.859,32;2.671,62;4.828,98;5.724,67;5.917,31;4.137,20;3.045,97;;;3.573,41;;3.025,07;4.550,79;;;5.467,38;3.815,26;3.838,42;5.062,79;
MATERIAL;1616;CONTATOR TRIPOLAR, CORRENTE DE 300 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;9.348,74;;;4.056,07;;6.924,99;5.935,71;4.108,99;7.427,06;8.804,64;9.100,93;6.363,08;4.684,76;;;5.495,97;;4.652,61;6.999,19;;;8.408,92;5.867,94;5.903,56;7.786,66;
MATERIAL;1614;CONTATOR TRIPOLAR, CORRENTE DE 32 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;427,27;;;185,37;;316,49;271,28;187,79;339,44;402,40;415,94;290,81;214,11;;;251,18;;212,64;319,89;;;384,32;268,18;269,81;355,88;
MATERIAL;1617;CONTATOR TRIPOLAR, CORRENTE DE 400 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;11.160,38;;;4.842,07;;8.266,94;7.085,95;4.905,25;8.866,30;10.510,83;10.864,54;7.596,14;5.592,59;;;6.561,00;;5.554,20;8.355,52;;;10.038,43;7.005,05;7.047,57;9.295,59;
MATERIAL;1621;CONTATOR TRIPOLAR, CORRENTE DE 45 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;764,16;;;331,54;;566,04;485,18;335,86;607,08;719,69;743,91;520,11;382,93;;;449,24;;380,30;572,11;;;687,34;479,64;482,55;636,48;
MATERIAL;1624;CONTATOR TRIPOLAR, CORRENTE DE 630 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;27.432,75;;;11.902,04;;20.320,55;17.417,62;12.057,34;21.793,79;25.836,13;26.705,56;18.671,69;13.746,85;;;16.127,26;;13.652,51;20.538,27;;;24.674,96;17.218,77;17.323,27;22.849,01;
MATERIAL;1615;CONTATOR TRIPOLAR, CORRENTE DE 75 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;1.434,98;;;622,58;;1.062,95;911,10;630,70;1.140,01;1.351,46;1.396,94;976,69;719,08;;;843,60;;714,15;1.074,33;;;1.290,72;900,69;906,16;1.195,21;
MATERIAL;1612;CONTATOR TRIPOLAR, CORRENTE DE 9 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;189,00;;;82,00;;140,00;120,00;83,07;150,15;178,00;183,99;128,64;94,71;;;111,11;;94,06;141,50;;;170,00;118,63;119,35;157,42;
MATERIAL;1618;CONTATOR TRIPOLAR, CORRENTE DE 95 A, TENSAO NOMINAL DE *500* V, CATEGORIA AC-2 E AC-3;UN;;1.971,87;;;855,52;;1.460,64;1.251,98;866,68;1.566,54;1.857,11;1.919,60;1.342,12;988,12;;;1.159,23;;981,34;1.476,29;;;1.773,64;1.237,69;1.245,20;1.642,39;
MATERIAL;14211;"CONTRA-PORCA SEXTAVADA, DIAMETRO NOMINAL 1 3/8"", ALTURA 35 MM";UN;;44,49;;54,63;44,90;56,91;;;;;53,80;51,73;43,46;53,80;;65,81;;40,35;60,01;;50,91;;;55,87;;49,66;
MATERIAL;43657;CONTRAMARCO DE ALUMINIO (PERFIL 25) PARA ESQUADRIAS, TIPO CONVENCIONAL / CADEIRINHA, 60 MM (CM-060), INCLUSO CONEXOES, GRAPAS E TRAVAMENTOS;M;;10,91;;;4,56;8,75;9,19;5,11;;;6,17;10,19;7,94;5,57;;5,06;6,31;14,97;11,06;5,38;15,37;;9,42;7,54;;7,48;
MATERIAL;38200;CORDA DE POLIAMIDA 12 MM TIPO BOMBEIRO, PARA TRABALHO EM ALTURA;100M;412,48;398,26;490,71;512,05;422,44;444,63;392,28;403,95;348,48;389,72;389,72;438,94;497,82;618,73;526,27;477,91;537,08;452,31;512,05;396,84;440,93;527,41;480,76;461,41;398,26;433,82;480,76
MATERIAL;39269;CORDAO DE COBRE, FLEXIVEL, TORCIDO, CLASSE 4 OU 5, ISOLACAO EM PVC/D, 300 V, 2 CONDUTORES DE 0,5 MM2;M;1,63;1,67;1,36;1,65;1,41;1,34;1,75;1,48;1,48;1,58;1,35;1,41;1,59;1,53;1,59;1,41;1,52;1,42;1,41;1,56;1,62;1,50;1,38;1,50;1,44;1,43;1,46
MATERIAL;11889;CORDAO DE COBRE, FLEXIVEL, TORCIDO, CLASSE 4 OU 5, ISOLACAO EM PVC/D, 300 V, 2 CONDUTORES DE 0,75 MM2;M;2,25;2,30;1,86;2,26;1,94;1,85;2,41;2,03;2,03;2,18;1,86;1,94;2,18;2,11;2,19;1,94;2,08;1,95;1,93;2,14;2,22;2,06;1,90;2,06;1,98;1,96;2,01
MATERIAL;39270;CORDAO DE COBRE, FLEXIVEL, TORCIDO, CLASSE 4 OU 5, ISOLACAO EM PVC/D, 300 V, 2 CONDUTORES DE 1,0 MM2;M;2,92;2,99;2,42;2,94;2,52;2,40;3,13;2,64;2,64;2,83;2,41;2,52;2,84;2,74;2,84;2,52;2,71;2,54;2,51;2,78;2,89;2,67;2,47;2,68;2,58;2,55;2,61
MATERIAL;11890;CORDAO DE COBRE, FLEXIVEL, TORCIDO, CLASSE 4 OU 5, ISOLACAO EM PVC/D, 300 V, 2 CONDUTORES DE 1,5 MM2;M;3,97;4,07;3,30;4,00;3,43;3,27;4,25;3,59;3,59;3,85;3,29;3,44;3,86;3,73;3,87;3,43;3,68;3,45;3,42;3,78;3,93;3,64;3,37;3,65;3,51;3,47;3,55
MATERIAL;11891;CORDAO DE COBRE, FLEXIVEL, TORCIDO, CLASSE 4 OU 5, ISOLACAO EM PVC/D, 300 V, 2 CONDUTORES DE 2,5 MM2;M;6,44;6,60;5,34;6,49;5,56;5,30;6,90;5,83;5,83;6,24;5,33;5,57;6,26;6,04;6,27;5,56;5,97;5,60;5,54;6,13;6,37;5,90;5,46;5,92;5,69;5,63;5,76
MATERIAL;11892;CORDAO DE COBRE, FLEXIVEL, TORCIDO, CLASSE 4 OU 5, ISOLACAO EM PVC/D, 300 V, 2 CONDUTORES DE 4 MM2;M;10,53;10,79;8,74;10,60;9,09;8,67;11,28;9,53;9,53;10,21;8,71;9,11;10,23;9,88;10,25;9,09;9,76;9,16;9,06;10,02;10,42;9,65;8,92;9,67;9,30;9,20;9,41
MATERIAL;37601;CORDEL DETONANTE, NP 05 G/M;M;;;;;;;;;;;;;;;;;;;;;;;;;;8,47;
MATERIAL;1634;CORDEL DETONANTE, NP 10 G/M;M;;;;;;;;;;;;;;;;;;;;;;;;;;8,75;
EQUIPAMENTO (AQUISIÇÃO);44274;"COROA PARA PERFURATRIZ T38, D = 2 1/2"", 6 X 4 BOTOES BALISTICOS, FACE PLANA";UN;;;;;675,74;;;737,73;;;655,14;627,00;;689,79;;685,66;;743,49;771,99;;735,22;;689,79;784,79;;702,18;
MATERIAL;5086;"CORRENTE DE ELO CURTO COMUM, SOLDADA, GALVANIZADA, ESPESSURA DO ELO = 1/2"" (12,5 MM)";KG;35,18;32,72;34,29;32,64;34,57;35,34;32,56;31,87;37,29;31,90;34,19;37,47;43,77;36,73;34,36;36,73;34,26;31,95;35,83;31,02;39,35;29,45;34,91;37,58;37,61;29,84;34,36
MATERIAL;45244;CORTA-TUBOS COM CAPACIDADE DE 6 A 42 MM;UN;109,94;83,59;;108,41;89,56;;110,72;94,30;108,16;114,16;114,77;85,25;118,23;;;88,09;184,77;71,03;;106,38;111,49;112,47;103,28;102,16;83,14;101,38;134,92
EQUIPAMENTO (AQUISIÇÃO);11280;"CORTADEIRA DE PISO DE CONCRETO E ASFALTO, PARA DISCO PADRAO DE DIAMETRO 350 MM (14"") OU 450 MM (18""), MOTOR A GASOLINA, POTENCIA 13 HP, SEM DISCO";UN;13.676,02;14.317,20;;13.194,82;13.097,15;16.577,29;14.494,45;;;;13.041,89;14.354,37;15.546,65;13.814,18;10.951,32;13.760,30;16.502,69;15.213,55;12.465,36;15.197,11;14.095,05;11.295,18;14.078,05;;14.091,87;12.917,55;12.315,33
